Confirmed,Deaths,States,Recovered,Date,Id
39658,1795,Illinois,,24-Apr,17
13681,741,Indiana,,24-Apr,18
4445,107,Iowa,1604,24-Apr,19
2959,118,Kansas,,24-Apr,20
3779,200,Kentucky,1341,24-Apr,21
26140,1660,Louisiana,14927,24-Apr,22
965,47,Maine,499,24-Apr,23
16616,798,Maryland,1108,24-Apr,24
50969,2556,Massachusetts,,24-Apr,25
36641,3085,Michigan,3237,24-Apr,26
3185,221,Minnesota,1594,24-Apr,27
5434,209,Mississippi,,24-Apr,28
6788,272,Missouri,,24-Apr,29
444,14,Montana,325,24-Apr,30
2424,50,Nebraska,,24-Apr,31
4398,197,Nevada,,24-Apr,32
1720,53,New Hampshire,578,24-Apr,33
102196,5683,New Jersey,,24-Apr,34
2521,84,New Mexico,614,24-Apr,35
271590,21411,New York,23887,24-Apr,36
8290,294,North Carolina,,24-Apr,37
748,15,North Dakota,285,24-Apr,38
14,2,Northern Mariana Islands,11,24-Apr,69
15169,690,Ohio,,24-Apr,39
3121,188,Oklahoma,1961,24-Apr,40
2177,86,Oregon,,24-Apr,41
40208,1747,Pennsylvania,,24-Apr,42
1276,77,Puerto Rico,,24-Apr,72
6699,202,Rhode Island,377,24-Apr,44
5070,157,South Carolina,3701,24-Apr,45
2040,10,South Dakota,1190,24-Apr,46
8728,169,Tennessee,4370,24-Apr,47
23642,624,Texas,9156,24-Apr,48
3782,39,Utah,1252,24-Apr,49
827,44,Vermont,1710,24-Apr,50
54,3,Virgin Islands,50,24-Apr,78
11594,411,Virginia,1672,24-Apr,51
12977,722,Washington,,24-Apr,53
1010,32,West Virginia,439,24-Apr,54
5356,263,Wisconsin,,24-Apr,55
473,7,Wyoming,321,24-Apr,56
6026,209,Alabama,,25-Apr,1
339,9,Alaska,217,25-Apr,2
0,0,American Samoa,,25-Apr,60
6286,273,Arizona,1345,25-Apr,4
2911,48,Arkansas,964,25-Apr,5
42368,1689,California,,25-Apr,6
12968,684,Colorado,2086,25-Apr,8
24583,1865,Connecticut,,25-Apr,9
3576,112,Delaware,809,25-Apr,10
3699,165,District of Columbia,652,25-Apr,11
30839,1055,Florida,,25-Apr,12
23222,907,Georgia,,25-Apr,13
141,5,Guam,128,25-Apr,66
605,13,Hawaii,463,25-Apr,15
1887,56,Idaho,867,25-Apr,16
41777,1875,Illinois,,25-Apr,17
14399,786,Indiana,,25-Apr,18
5092,112,Iowa,1723,25-Apr,19
3135,120,Kansas,,25-Apr,20
3915,205,Kentucky,1341,25-Apr,21
26512,1707,Louisiana,14927,25-Apr,22
965,47,Maine,519,25-Apr,23
17766,875,Maryland,1165,25-Apr,24
53348,2730,Massachusetts,,25-Apr,25
37074,3155,Michigan,8342,25-Apr,26
3446,244,Minnesota,1654,25-Apr,27
5718,221,Mississippi,,25-Apr,28
6935,281,Missouri,,25-Apr,29
445,14,Montana,339,25-Apr,30
2719,50,Nebraska,,25-Apr,31
4539,205,Nevada,,25-Apr,32
1797,53,New Hampshire,578,25-Apr,33
105498,5914,New Jersey,,25-Apr,34
2660,93,New Mexico,614,25-Apr,35
282143,22009,New York,23887,25-Apr,36
8768,305,North Carolina,,25-Apr,37
803,16,North Dakota,310,25-Apr,38
14,2,Northern Mariana Islands,11,25-Apr,69
15587,711,Ohio,,25-Apr,39
3194,194,Oklahoma,2080,25-Apr,40
2253,87,Oregon,,25-Apr,41
41153,1793,Pennsylvania,,25-Apr,42
1307,83,Puerto Rico,,25-Apr,72
7129,215,Rhode Island,410,25-Apr,44
5253,166,South Carolina,3701,25-Apr,45
2147,10,South Dakota,1223,25-Apr,46
9189,177,Tennessee,4467,25-Apr,47
24153,638,Texas,9986,25-Apr,48
3948,41,Utah,1399,25-Apr,49
843,46,Vermont,1710,25-Apr,50
55,3,Virgin Islands,51,25-Apr,78
12366,437,Virginia,1717,25-Apr,51
13319,737,Washington,,25-Apr,53
1010,32,West Virginia,439,25-Apr,54
5687,266,Wisconsin,,25-Apr,55
491,7,Wyoming,321,25-Apr,56
6421,219,Alabama,,26-Apr,1
340,9,Alaska,217,26-Apr,2
0,0,American Samoa,,26-Apr,60
6534,275,Arizona,1383,26-Apr,4
3001,51,Arkansas,985,26-Apr,5
43558,1725,California,,26-Apr,6
13441,688,Colorado,2150,26-Apr,8
25269,1924,Connecticut,,26-Apr,9
4034,120,Delaware,911,26-Apr,10
3841,178,District of Columbia,657,26-Apr,11
31532,1075,Florida,,26-Apr,12
23486,916,Georgia,,26-Apr,13
141,5,Guam,128,26-Apr,66
606,14,Hawaii,482,26-Apr,15
1897,56,Idaho,938,26-Apr,16
43903,1933,Illinois,,26-Apr,17
15012,813,Indiana,,26-Apr,18
5476,118,Iowa,1900,26-Apr,19
3277,121,Kansas,,26-Apr,20
4085,208,Kentucky,1501,26-Apr,21
26773,1729,Louisiana,14927,26-Apr,22
1015,50,Maine,532,26-Apr,23
18581,910,Maryland,1177,26-Apr,24
54938,2899,Massachusetts,,26-Apr,25
37778,3315,Michigan,8342,26-Apr,26
3602,272,Minnesota,1774,26-Apr,27
5911,227,Mississippi,,26-Apr,28
7120,283,Missouri,,26-Apr,29
448,14,Montana,339,26-Apr,30
3028,56,Nebraska,,26-Apr,31
4734,206,Nevada,,26-Apr,32
1864,60,New Hampshire,777,26-Apr,33
109038,5938,New Jersey,,26-Apr,34
2726,99,New Mexico,614,26-Apr,35
288045,22269,New York,23887,26-Apr,36
8997,324,North Carolina,,26-Apr,37
867,17,North Dakota,326,26-Apr,38
14,2,Northern Mariana Islands,11,26-Apr,69
15972,728,Ohio,,26-Apr,39
3254,195,Oklahoma,2139,26-Apr,40
2311,92,Oregon,,26-Apr,41
42616,1816,Pennsylvania,,26-Apr,42
1371,84,Puerto Rico,,26-Apr,72
7439,226,Rhode Island,433,26-Apr,44
5498,174,South Carolina,3701,26-Apr,45
2212,11,South Dakota,1257,26-Apr,46
9667,181,Tennessee,4527,26-Apr,47
24967,651,Texas,10763,26-Apr,48
4123,41,Utah,1568,26-Apr,49
851,46,Vermont,,26-Apr,50
57,4,Virgin Islands,51,26-Apr,78
12970,449,Virginia,1815,26-Apr,51
13521,749,Washington,,26-Apr,53
1055,34,West Virginia,455,26-Apr,54
5912,272,Wisconsin,,26-Apr,55
502,7,Wyoming,334,26-Apr,56
6539,228,Alabama,,27-Apr,1
345,9,Alaska,218,27-Apr,2
0,0,American Samoa,,27-Apr,60
6725,275,Arizona,1418,27-Apr,4
3069,51,Arkansas,987,27-Apr,5
44966,1779,California,,27-Apr,6
13879,706,Colorado,2150,27-Apr,8
25997,2012,Connecticut,,27-Apr,9
4162,125,Delaware,996,27-Apr,10
3892,185,District of Columbia,659,27-Apr,11
32138,1088,Florida,,27-Apr,12
24302,995,Georgia,,27-Apr,13
141,5,Guam,128,27-Apr,66
607,16,Hawaii,488,27-Apr,15
1897,56,Idaho,983,27-Apr,16
45883,1983,Illinois,,27-Apr,17
15961,844,Indiana,,27-Apr,18
5868,127,Iowa,2021,27-Apr,19
3473,126,Kansas,,27-Apr,20
4156,213,Kentucky,1511,27-Apr,21
27068,1740,Louisiana,17303,27-Apr,22
1023,51,Maine,549,27-Apr,23
19487,945,Maryland,1263,27-Apr,24
56462,3003,Massachusetts,,27-Apr,25
38210,3407,Michigan,8342,27-Apr,26
3811,286,Minnesota,1842,27-Apr,27
6094,229,Mississippi,,27-Apr,28
7305,343,Missouri,,27-Apr,29
449,14,Montana,352,27-Apr,30
3358,56,Nebraska,,27-Apr,31
4700,206,Nevada,,27-Apr,32
1938,60,New Hampshire,779,27-Apr,33
111188,6044,New Jersey,,27-Apr,34
2825,99,New Mexico,650,27-Apr,35
291996,22668,New York,23887,27-Apr,36
9428,340,North Carolina,,27-Apr,37
942,19,North Dakota,350,27-Apr,38
14,2,Northern Mariana Islands,11,27-Apr,69
16325,753,Ohio,,27-Apr,39
3281,197,Oklahoma,2167,27-Apr,40
2354,92,Oregon,,27-Apr,41
43558,1886,Pennsylvania,,27-Apr,42
1389,84,Puerto Rico,,27-Apr,72
7708,233,Rhode Island,452,27-Apr,44
5613,177,South Carolina,3701,27-Apr,45
2244,11,South Dakota,1316,27-Apr,46
9918,184,Tennessee,4720,27-Apr,47
25321,666,Texas,11170,27-Apr,48
4236,41,Utah,1641,27-Apr,49
855,47,Vermont,,27-Apr,50
57,4,Virgin Islands,51,27-Apr,78
13538,460,Virginia,1843,27-Apr,51
13686,764,Washington,,27-Apr,53
1063,34,West Virginia,455,27-Apr,54
6081,281,Wisconsin,,27-Apr,55
520,7,Wyoming,342,27-Apr,56
6750,242,Alabama,,28-Apr,1
351,9,Alaska,228,28-Apr,2
0,0,American Samoa,,28-Apr,60
6955,275,Arizona,1450,28-Apr,4
3127,57,Arkansas,1146,28-Apr,5
46164,1864,California,,28-Apr,6
14316,736,Colorado,2275,28-Apr,8
26312,2087,Connecticut,,28-Apr,9
4575,137,Delaware,1096,28-Apr,10
3994,190,District of Columbia,660,28-Apr,11
32848,1171,Florida,,28-Apr,12
24922,1036,Georgia,,28-Apr,13
141,5,Guam,129,28-Apr,66
609,16,Hawaii,493,28-Apr,15
1952,60,Idaho,1039,28-Apr,16
48102,2125,Illinois,,28-Apr,17
16588,901,Indiana,,28-Apr,18
6376,136,Iowa,2164,28-Apr,19
3652,127,Kansas,,28-Apr,20
4375,225,Kentucky,1521,28-Apr,21
27286,1801,Louisiana,17303,28-Apr,22
1040,51,Maine,585,28-Apr,23
20113,1016,Maryland,1295,28-Apr,24
58302,3153,Massachusetts,,28-Apr,25
39262,3568,Michigan,8342,28-Apr,26
4181,301,Minnesota,1912,28-Apr,27
6342,239,Mississippi,,28-Apr,28
7450,330,Missouri,,28-Apr,29
451,15,Montana,356,28-Apr,30
3517,56,Nebraska,,28-Apr,31
4821,219,Nevada,,28-Apr,32
2010,60,New Hampshire,798,28-Apr,33
113856,6442,New Jersey,15642,28-Apr,34
2974,105,New Mexico,666,28-Apr,35
295106,22912,New York,51630,28-Apr,36
9755,363,North Carolina,,28-Apr,37
991,19,North Dakota,409,28-Apr,38
14,2,Northern Mariana Islands,12,28-Apr,69
16769,799,Ohio,,28-Apr,39
3410,207,Oklahoma,2260,28-Apr,40
2385,99,Oregon,,28-Apr,41
45137,2046,Pennsylvania,,28-Apr,42
1400,86,Puerto Rico,,28-Apr,72
7927,239,Rhode Island,466,28-Apr,44
5735,192,South Carolina,2830,28-Apr,45
2313,11,South Dakota,1392,28-Apr,46
10052,188,Tennessee,4921,28-Apr,47
26357,719,Texas,11786,28-Apr,48
4345,41,Utah,1704,28-Apr,49
862,47,Vermont,,28-Apr,50
57,4,Virgin Islands,51,28-Apr,78
14339,492,Virginia,1914,28-Apr,51
13842,786,Washington,,28-Apr,53
1095,38,West Virginia,481,28-Apr,54
6289,300,Wisconsin,,28-Apr,55
536,7,Wyoming,343,28-Apr,56
6912,256,Alabama,,29-Apr,1
355,9,Alaska,240,29-Apr,2
0,0,American Samoa,,29-Apr,60
7209,308,Arizona,1475,29-Apr,4
3193,57,Arkansas,1249,29-Apr,5
48747,1946,California,,29-Apr,6
14758,766,Colorado,2275,29-Apr,8
26767,2169,Connecticut,,29-Apr,9
4655,144,Delaware,1173,29-Apr,10
4106,205,District of Columbia,660,29-Apr,11
33193,1218,Florida,,29-Apr,12
25775,1101,Georgia,,29-Apr,13
141,5,Guam,130,29-Apr,66
613,16,Hawaii,505,29-Apr,15
1952,60,Idaho,1087,29-Apr,16
50358,2215,Illinois,,29-Apr,17
17182,964,Indiana,,29-Apr,18
6843,148,Iowa,2428,29-Apr,19
3839,134,Kansas,266,29-Apr,20
4537,234,Kentucky,1617,29-Apr,21
27660,1845,Louisiana,17303,29-Apr,22
1056,52,Maine,615,29-Apr,23
20849,1078,Maryland,1361,29-Apr,24
60265,3405,Massachusetts,,29-Apr,25
40399,3670,Michigan,8342,29-Apr,26
4644,319,Minnesota,2043,29-Apr,27
6569,250,Mississippi,3413,29-Apr,28
7660,338,Missouri,,29-Apr,29
451,16,Montana,382,29-Apr,30
3851,56,Nebraska,,29-Apr,31
4934,230,Nevada,100,29-Apr,32
2058,60,New Hampshire,936,29-Apr,33
116365,6771,New Jersey,15642,29-Apr,34
3213,112,New Mexico,705,29-Apr,35
299691,23477,New York,53238,29-Apr,36
10180,382,North Carolina,,29-Apr,37
1033,19,North Dakota,437,29-Apr,38
14,2,Northern Mariana Islands,12,29-Apr,69
17303,937,Ohio,,29-Apr,39
3473,214,Oklahoma,2319,29-Apr,40
2446,101,Oregon,,29-Apr,41
46327,2373,Pennsylvania,,29-Apr,42
1433,86,Puerto Rico,,29-Apr,72
8247,251,Rhode Island,391,29-Apr,44
5882,231,South Carolina,3252,29-Apr,45
2373,13,South Dakota,1492,29-Apr,46
10366,195,Tennessee,5140,29-Apr,47
27257,754,Texas,12507,29-Apr,48
4497,45,Utah,1790,29-Apr,49
862,47,Vermont,,29-Apr,50
57,4,Virgin Islands,51,29-Apr,78
14962,522,Virginia,2042,29-Apr,51
14070,801,Washington,,29-Apr,53
1110,38,West Virginia,504,29-Apr,54
6520,308,Wisconsin,,29-Apr,55
545,7,Wyoming,362,29-Apr,56
7088,272,Alabama,0,30-Apr,1
355,9,Alaska,252,30-Apr,2
0,0,American Samoa,0,30-Apr,60
7655,320,Arizona,1499,30-Apr,4
3281,61,Arkansas,1305,30-Apr,5
50130,2031,California,0,30-Apr,6
15284,777,Colorado,2415,30-Apr,8
27700,2257,Connecticut,0,30-Apr,9
4734,152,Delaware,1275,30-Apr,10
4323,224,District of Columbia,660,30-Apr,11
33690,1268,Florida,0,30-Apr,12
26264,1132,Georgia,0,30-Apr,13
145,5,Guam,131,30-Apr,66
618,16,Hawaii,516,30-Apr,15
1984,60,Idaho,1121,30-Apr,16
52918,2355,Illinois,0,30-Apr,17
17835,1114,Indiana,0,30-Apr,18
7145,162,Iowa,2697,30-Apr,19
4413,134,Kansas,272,30-Apr,20
4708,240,Kentucky,1668,30-Apr,21
28001,1905,Louisiana,17303,30-Apr,22
1095,53,Maine,631,30-Apr,23
21742,1140,Maryland,1432,30-Apr,24
62205,3562,Massachusetts,0,30-Apr,25
41379,3789,Michigan,8342,30-Apr,26
5136,343,Minnesota,2172,30-Apr,27
6815,261,Mississippi,3413,30-Apr,28
7818,350,Missouri,0,30-Apr,29
453,16,Montana,392,30-Apr,30
4281,70,Nebraska,0,30-Apr,31
5053,243,Nevada,158,30-Apr,32
2146,72,New Hampshire,980,30-Apr,33
118652,7228,New Jersey,15642,30-Apr,34
3411,123,New Mexico,734,30-Apr,35
304372,23587,New York,54771,30-Apr,36
10754,406,North Carolina,0,30-Apr,37
1067,19,North Dakota,458,30-Apr,38
14,2,Northern Mariana Islands,12,30-Apr,69
18027,976,Ohio,0,30-Apr,39
3618,222,Oklahoma,2401,30-Apr,40
2510,103,Oregon,0,30-Apr,41
47971,2475,Pennsylvania,0,30-Apr,42
1539,92,Puerto Rico,0,30-Apr,72
8621,266,Rhode Island,461,30-Apr,44
6095,244,South Carolina,3252,30-Apr,45
2449,17,South Dakota,1573,30-Apr,46
10735,199,Tennessee,5140,30-Apr,47
28727,812,Texas,12507,30-Apr,48
4672,46,Utah,1939,30-Apr,49
866,49,Vermont,0,30-Apr,50
66,4,Virgin Islands,51,30-Apr,78
15847,552,Virginia,2104,30-Apr,51
14327,814,Washington,0,30-Apr,53
1125,41,West Virginia,545,30-Apr,54
6854,316,Wisconsin,3352,30-Apr,55
559,7,Wyoming,371,30-Apr,56
7294,289,Alabama,0,1-May,1
364,9,Alaska,254,1-May,2
0,0,American Samoa,0,1-May,60
7969,330,Arizona,1528,1-May,4
3337,64,Arkansas,1973,1-May,5
52026,2126,California,0,1-May,6
15793,821,Colorado,2486,1-May,8
28764,2339,Connecticut,4346,1-May,9
4918,159,Delaware,1403,1-May,10
4658,231,District of Columbia,666,1-May,11
34728,1314,Florida,0,1-May,12
27489,1169,Georgia,0,1-May,13
145,5,Guam,131,1-May,66
619,16,Hawaii,526,1-May,15
2015,63,Idaho,1175,1-May,16
56055,2457,Illinois,0,1-May,17
18630,1175,Indiana,0,1-May,18
7884,170,Iowa,2899,1-May,19
4634,140,Kansas,280,1-May,20
4882,246,Kentucky,1675,1-May,21
28711,1970,Louisiana,17303,1-May,22
1123,55,Maine,657,1-May,23
23472,1080,Maryland,1517,1-May,24
64311,3716,Massachusetts,0,1-May,25
42356,3866,Michigan,8342,1-May,26
5730,370,Minnesota,2282,1-May,27
7212,281,Mississippi,3413,1-May,28
8067,360,Missouri,0,1-May,29
453,16,Montana,397,1-May,30
5008,73,Nebraska,0,1-May,31
5248,246,Nevada,182,1-May,32
2310,81,New Hampshire,980,1-May,33
121190,7538,New Jersey,15642,1-May,34
3513,131,New Mexico,760,1-May,35
308314,24039,New York,56187,1-May,36
11070,419,North Carolina,0,1-May,37
1107,23,North Dakota,482,1-May,38
14,2,Northern Mariana Islands,12,1-May,69
18743,1003,Ohio,0,1-May,39
3748,230,Oklahoma,2467,1-May,40
2579,104,Oregon,0,1-May,41
49579,2635,Pennsylvania,0,1-May,42
1575,94,Puerto Rico,0,1-May,72
8962,279,Rhode Island,485,1-May,44
6258,256,South Carolina,3622,1-May,45
2525,21,South Dakota,1686,1-May,46
11891,204,Tennessee,5546,1-May,47
29692,840,Texas,14122,1-May,48
4828,46,Utah,2062,1-May,49
879,50,Vermont,0,1-May,50
66,4,Virgin Islands,51,1-May,78
16902,581,Virginia,2196,1-May,51
14637,824,Washington,0,1-May,53
1152,46,West Virginia,555,1-May,54
7314,327,Wisconsin,3352,1-May,55
566,7,Wyoming,373,1-May,56
